car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
maruti s cross,2015,diesel,85657,gurgaon,suv,manual,1,512915,FALSE,429599
maruti swift,2014,diesel,83368,gurgaon,hatchback,manual,1,389000,FALSE,360999
honda amaze,2014,petrol,86132,gurgaon,sedan,automatic,1,397631,FALSE,390399
hyundai verna,2018,diesel,40585,gurgaon,sedan,automatic,2,971575,FALSE,917999
honda city,2009,petrol,99003,gurgaon,sedan,manual,2,302880,FALSE,258599
maruti swift,2015,petrol,73411,gurgaon,hatchback,manual,1,434736,FALSE,342399
mahindra tuv300,2015,diesel,74165,gurgaon,suv,automatic,1,668280,FALSE,530399
maruti swift,2012,diesel,89809,gurgaon,hatchback,manual,1,305495,FALSE,292199
hyundai i20,2012,diesel,98304,gurgaon,hatchback,manual,1,346396,FALSE,253699
volkswagen ameo,2016,diesel,84113,gurgaon,sedan,manual,1,500245,FALSE,448699
maruti ciaz,2017,diesel,70268,gurgaon,sedan,manual,1,734314,FALSE,579799
ford ecosport,2016,diesel,87720,gurgaon,suv,manual,3,514674,FALSE,502599
hyundai creta,2017,diesel,60967,gurgaon,suv,automatic,2,982267,FALSE,975299
hyundai elite i20,2015,diesel,82388,gurgaon,hatchback,manual,1,542932,TRUE,489199
maruti swift dzire,2012,diesel,90249,gurgaon,sedan,manual,1,326799,FALSE,326399
maruti ritz,2012,petrol,93626,gurgaon,hatchback,manual,1,230564,FALSE,203399
maruti swift,2013,diesel,84308,gurgaon,hatchback,manual,2,362820,FALSE,319599
maruti ciaz,2015,diesel,81692,gurgaon,sedan,manual,2,494101,FALSE,474599
maruti swift,2013,diesel,82786,gurgaon,hatchback,manual,2,343573,FALSE,264299
toyota camry,2016,petrol,80252,gurgaon,luxury sedan,manual,1,1593500,FALSE,1591960
maruti swift dzire,2012,diesel,106913,gurgaon,sedan,manual,2,294630,FALSE,276399
maruti swift,2013,diesel,90030,gurgaon,hatchback,manual,1,398540,FALSE,319199
maruti swift,2014,diesel,97711,gurgaon,hatchback,manual,1,383361,FALSE,368799
maruti swift dzire,2013,diesel,106300,gurgaon,sedan,manual,1,368595,FALSE,339699
maruti swift dzire,2013,diesel,90775,gurgaon,sedan,manual,1,369412,FALSE,362699
ford fiesta,2012,petrol,107016,gurgaon,sedan,automatic,1,302299,FALSE,299599
maruti swift,2012,diesel,89318,gurgaon,hatchback,manual,1,397464,FALSE,307299
maruti swift dzire,2014,diesel,101891,gurgaon,sedan,manual,1,465599,FALSE,381499
maruti swift dzire,2015,diesel,126440,gurgaon,sedan,manual,1,471205,TRUE,405899
maruti swift dzire,2013,diesel,104976,gurgaon,sedan,manual,2,345899,FALSE,335799
toyota corolla altis,2012,diesel,105865,gurgaon,luxury sedan,manual,1,448316,FALSE,366899
maruti swift,2014,diesel,106521,gurgaon,hatchback,manual,1,449890,FALSE,385999
toyota etios,2012,diesel,121820,gurgaon,sedan,manual,1,337830,FALSE,300599
maruti swift dzire,2013,diesel,100427,gurgaon,sedan,manual,2,379753,FALSE,317199
toyota etios liva,2012,diesel,160408,gurgaon,hatchback,manual,1,341798,FALSE,263599
maruti ciaz,2014,diesel,103867,gurgaon,sedan,manual,1,573000,FALSE,479099
maruti celerio,2015,petrol & cng,105284,gurgaon,hatchback,automatic,2,324837,FALSE,324499
ford ecosport,2013,diesel,130274,gurgaon,suv,manual,1,515400,TRUE,420199
hyundai verna,2013,diesel,134080,gurgaon,sedan,manual,1,469973,FALSE,385699
maruti swift dzire,2012,diesel,128836,gurgaon,sedan,manual,1,368056,FALSE,290399
toyota innova,2014,diesel,69781,gurgaon,suv,manual,1,1067659,FALSE,1016967
hyundai i20,2012,diesel,87995,gurgaon,hatchback,manual,3,321680,FALSE,261399
maruti swift,2012,diesel,136700,gurgaon,hatchback,manual,1,396454,FALSE,318299
toyota innova,2014,diesel,82096,gurgaon,suv,manual,1,1062066,FALSE,1013331
toyota fortuner,2012,diesel,96301,gurgaon,luxury suv,manual,2,1058744,FALSE,1040904
toyota fortuner,2012,diesel,166542,gurgaon,luxury suv,manual,1,1249075,FALSE,1102413
hyundai eon,2017,petrol,22003,gurgaon,hatchback,manual,1,288599,FALSE,288499
maruti wagon r 1.0,2015,petrol,19172,gurgaon,hatchback,manual,1,327599,FALSE,314699
maruti wagon r 1.0,2015,petrol,39401,gurgaon,hatchback,manual,1,314388,TRUE,246499
maruti swift dzire,2012,diesel,64085,gurgaon,sedan,manual,1,411876,TRUE,358999
maruti vitara brezza,2019,diesel,29804,gurgaon,suv,manual,1,984201,FALSE,800199
honda city,2010,petrol,86768,gurgaon,sedan,manual,3,298599,FALSE,296499
maruti wagon r stingray,2014,petrol,84706,gurgaon,hatchback,manual,2,293999,FALSE,293899
toyota etios liva,2014,diesel,76208,gurgaon,hatchback,manual,1,312099,FALSE,302499
mahindra scorpio,2018,diesel,41612,gurgaon,suv,manual,1,1018987,FALSE,1018886
hyundai santro xing,2008,petrol,91288,gurgaon,hatchback,manual,1,161499,FALSE,154499
honda jazz,2016,petrol,80256,gurgaon,hatchback,automatic,1,564900,TRUE,449299
maruti swift,2014,diesel,92498,gurgaon,hatchback,manual,1,431224,FALSE,359799
hyundai creta,2018,diesel,75459,gurgaon,suv,automatic,1,1290266,FALSE,1207251
maruti ritz,2010,petrol,161419,gurgaon,hatchback,manual,2,184299,FALSE,183299
toyota innova,2014,diesel,101927,gurgaon,suv,manual,1,935780,FALSE,748099
hyundai verna,2012,diesel,95741,gurgaon,sedan,manual,1,529680,FALSE,413899
maruti swift,2015,petrol,23701,gurgaon,hatchback,manual,1,421805,FALSE,414699
maruti swift dzire,2014,diesel,29626,gurgaon,sedan,manual,1,413270,FALSE,408099
maruti swift,2016,petrol,17015,gurgaon,hatchback,manual,2,379198,FALSE,363599
honda jazz,2011,petrol,62664,gurgaon,hatchback,manual,3,330859,TRUE,219899
maruti wagon r 1.0,2016,petrol,29477,gurgaon,hatchback,manual,1,326512,FALSE,322799
hyundai grand i10,2016,petrol,21898,gurgaon,hatchback,manual,1,499149,FALSE,394099
maruti celerio,2014,petrol,27716,gurgaon,hatchback,automatic,2,317825,FALSE,305599
hyundai grand i10,2017,petrol,25355,gurgaon,hatchback,manual,1,440345,FALSE,434999
maruti dzire,2018,petrol,21043,gurgaon,sedan,manual,1,481639,FALSE,471699
maruti swift dzire,2012,diesel,46077,gurgaon,sedan,manual,1,394685,FALSE,312599
hyundai verna,2013,petrol,48097,gurgaon,sedan,manual,1,493546,FALSE,399899
hyundai grand i10,2017,diesel,38100,gurgaon,hatchback,manual,1,502380,FALSE,395799
maruti celerio,2014,petrol,45027,gurgaon,hatchback,manual,1,291602,FALSE,285699
hyundai grand i10,2016,petrol,15844,gurgaon,hatchback,manual,1,523807,FALSE,422099
hyundai grand i10,2016,petrol,45391,gurgaon,hatchback,manual,1,484916,TRUE,373099
hyundai grand i10,2016,petrol,37705,gurgaon,hatchback,manual,1,418999,FALSE,405599
tata tiago,2018,petrol,14882,gurgaon,hatchback,manual,1,526200,FALSE,428499
maruti swift,2014,petrol,52879,gurgaon,hatchback,manual,2,353762,FALSE,346499
renault kwid,2019,petrol,18699,gurgaon,hatchback,manual,1,362643,FALSE,295799
maruti swift,2016,diesel,48780,gurgaon,hatchback,manual,2,529522,TRUE,456899
volkswagen polo,2010,petrol,65467,gurgaon,hatchback,manual,3,190287,FALSE,154599
hyundai verna,2014,diesel,48498,gurgaon,sedan,manual,1,653280,FALSE,523699
tata tiago,2016,petrol,37822,gurgaon,hatchback,manual,1,387810,FALSE,309399
ford ecosport,2019,petrol,4400,gurgaon,suv,manual,1,956520,FALSE,810799
hyundai verna,2017,diesel,35270,gurgaon,sedan,automatic,1,916375,FALSE,853499
maruti swift dzire,2016,petrol & cng,48792,gurgaon,sedan,manual,1,401611,FALSE,385299
renault kwid,2019,petrol,22471,gurgaon,hatchback,manual,1,325500,FALSE,323799
maruti vitara brezza,2017,diesel,32496,gurgaon,suv,manual,1,786457,FALSE,773499
maruti vitara brezza,2017,diesel,41796,gurgaon,suv,manual,1,789752,FALSE,625099
